;;"ELECTION DU PRESIDENT DE LA REPUBLIQUE DE COTE D'IVOIRE
SCRUTIN DU 25 OCTOBRE 2025";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;RECENSEMENT GENERAL DES VOTES AU NIVEAU DE LA COMMISSION ELECTORALE LOCALE;;;;;;;;;;;;;;;RETRAIT OPERE / TOTAL INITIAL;;NB BV;0 / 152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;INSCRITS;0 / 63906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;DEPARTEMENT : ABIDJAN;;;;;;;;;;;;;;;CC02$2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;152;;;;;;;;;;;;;;;;;;;;;;;num 1;M-00908;M-00911;M-00918;M-00919;M-00920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORD;CEC MARCORY 02;;;;;;;;;;;;;;;;;;;;;;;;;GP-PAIX;CODE;MGC;INDEPENDANT;RHDP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LIEU DE VOTE;;BV;NB SCORES SAISIS Y COMPRIS BUL BLANCS;NB CELLULES VIDES;STATUT SUPPRESSION BV;CONFIRMATION SUPPRESSION;BV RETIRES;;DATE DE VEROULLAGE;HEURE DE VEROULLAGE;POPULATION ELECTORALE;;;"PERS.
ASTREINTE";" INSCRITS
(LED)
servant à contrôler les retraits de BV ";VOTANTS;;;"TAUX DE PARTICIPA
TION";BULLETINS NULS;VOID;SUFFR. EXPRIMES;6;BULLETINS BLANCS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;CONTRÔLE SUFFAGES ET SCORES;;LAGOU ADJOUA HENRIETTE;BILLON JEAN-LOUIS EUGENE;EHIVET SIMONE épouse GBAGBO;DON-MELLO SENIN AHOUA JACOB;ALASSANE OUATTARA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;NB BV;TOTAL INSCRIT;;;HOMMES;FEMMES;TOTAL;;;HOMMES;FEMMES;TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL;;152;;;;;0;0;;;32?859;31?047;63?906;0;40;0;0;0;;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;POURCENTAGE;;;;;;;;;;;;;;;;;;;0,00%;0,00%;0,00%;;;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;022001006001;EPP ANCIEN KOUMASSI VILLAGE;01;0;12;NOK;;;;;;212;196;408;;10;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;022001006001;EPP ANCIEN KOUMASSI VILLAGE;02;0;12;NOK;;;;;;219;189;408;;10;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;022001006001;EPP ANCIEN KOUMASSI VILLAGE;03;0;12;NOK;;;;;;250;158;408;;10;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;022001006001;EPP ANCIEN KOUMASSI VILLAGE;04;0;12;NOK;;;;;;215;193;408;;;;;;0,00%;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;022001006001;EPP ANCIEN KOUMASSI VILLAGE;05;0;12;NOK;;;;;;218;184;402;;10;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;022001006001;EPP ANCIEN KOUMASSI VILLAGE;06;0;12;NOK;;;;;;218;182;400;;;;;;0,00%;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;022001006001;EPP ANCIEN KOUMASSI VILLAGE;07;0;12;NOK;;;;;;220;180;400;;;;;;0,00%;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;022001006004;COLLEGE MODERNE DESCARTES;01;0;12;NOK;;;;;;215;185;400;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;022001006004;COLLEGE MODERNE DESCARTES;02;0;12;NOK;;;;;;235;165;400;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;022001006004;COLLEGE MODERNE DESCARTES;03;0;12;NOK;;;;;;234;164;398;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;022001006004;COLLEGE MODERNE DESCARTES;04;0;12;NOK;;;;;;222;170;392;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;022001006004;COLLEGE MODERNE DESCARTES;05;0;12;NOK;;;;;;205;187;392;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;022001006004;COLLEGE MODERNE DESCARTES;06;0;12;NOK;;;;;;194;198;392;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;022001006004;COLLEGE MODERNE DESCARTES;07;0;12;NOK;;;;;;212;180;392;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;022001006004;COLLEGE MODERNE DESCARTES;08;0;12;NOK;;;;;;224;168;392;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;022001006008;G S SOMBO ISAAC (EX EPP EECI);01;0;12;NOK;;;;;;190;210;400;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;022001006008;G S SOMBO ISAAC (EX EPP EECI);02;0;12;NOK;;;;;;194;199;393;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;022001006008;G S SOMBO ISAAC (EX EPP EECI);03;0;12;NOK;;;;;;203;189;392;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;022001006008;G S SOMBO ISAAC (EX EPP EECI);04;0;12;NOK;;;;;;190;202;392;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;022001006008;G S SOMBO ISAAC (EX EPP EECI);05;0;12;NOK;;;;;;209;183;392;;;;;;0,00%;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
