;;"ELECTION DU PRESIDENT DE LA REPUBLIQUE DE COTE D'IVOIRE
SCRUTIN DU 25 OCTOBRE 2025";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;RECENSEMENT GENERAL DES VOTES AU NIVEAU DE LA COMMISSION ELECTORALE LOCALE;;;;;;;;;;;;;;;RETRAIT OPERE / TOTAL INITIAL;;NB BV;0 / 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;INSCRITS;0 / 3392;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;DEPARTEMENT : KANIASSO;;;;;;;;;;;;;;;CC02$2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;9;;;;;;;;;;;;;;;;;;;;;;;num 1;M-00908;M-00911;M-00918;M-00919;M-00920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORD;CED KANIASSO;;;;;;;;;;;;;;;;;;;;;;;;;RHDP;MGC;GP-PAIX;CODE;INDEPENDANT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;LIEU DE VOTE;;BV;NB SCORES SAISIS Y COMPRIS BUL BLANCS;NB CELLULES VIDES;STATUT SUPPRESSION BV;CONFIRMATION SUPPRESSION;BV RETIRES;;DATE DE VEROULLAGE;HEURE DE VEROULLAGE;POPULATION ELECTORALE;;;"PERS.
ASTREINTE";" INSCRITS
(LED)
servant à contrôler les retraits de BV ";VOTANTS;;;"TAUX DE PARTICIPA
TION";BULLETINS NULS;VOID;SUFFR. EXPRIMES;6;BULLETINS BLANCS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;CONTRÔLE SUFFAGES ET SCORES;;ALASSANE OUATTARA;EHIVET SIMONE épouse GBAGBO;LAGOU ADJOUA HENRIETTE;"BILLON 
JEAN-LOUIS EUGENE";DON-MELLO SENIN AHOUA JACOB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;NB BV;TOTAL INSCRIT;;;HOMMES;FEMMES;TOTAL;;;HOMMES;FEMMES;TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TOTAL;;9;;;;;0;0;;;1?731;1?661;3?392;0;40;450;450;900;;0;0;900;;0;180;180;180;180;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
