COD_REG;COD_DST;LIB_REG
01;07;GBOKLE
02;07;NAWA
03;07;SAN PEDRO
04;05;INDENIE-DJUABLIN
05;04;SUD-COMOE
06;14;FOLON
07;14;KABADOUGOU
08;05;GOH
09;05;LOH-DJIBOUA
10;09;BELIER
11;09;IFFOU
12;09;MORONOU
13;09;N'ZI
14;03;AGNEBY-TIASSA
15;03;GRANDS PONTS
16;03;LA ME
17;07;CAVALLY
18;07;GUEMON
19;07;TONKPI
20;08;HAUT-SASSANDRA
21;08;MARAHOUE
22;12;BAGOUE
23;12;PORO
24;12;TCHOLOGO
25;11;GBEKE
26;11;HAMBOL
27;13;BAFING
28;13;BERE
29;13;WORODOUGOU
30;10;BOUNKANI
31;10;GONTOUGO
99;15;DIASPORA
A1;01;"DISTRICT AUTONOME D'ABIDJAN "
A2;02;DISTRICT AUTONOME DE YAMOUSSOUKRO
