COD_DEPT;COD_REG;LIB_DEPT
001;14;AGBOVILLE
002;14;SIKENSI
003;14;TIASSALE
004;27;KORO
005;27;OUANINOU
006;27;TOUBA
007;22;BOUNDIALI
008;22;KOUTO
009;22;TENGRELA
010;10;DIDIEVI
011;10;TIEBISSOU
012;10;TOUMODI
013;28;MANKONO
014;28;KOUNAHIRI
015;30;BOUNA
016;30;DOROPO
017;30;NASSIAN
018;30;TEHINI
019;17;BLOLEQUIN
020;17;GUIGLO
021;17;TOULEPLEU
022;A1;ABIDJAN
023;A2;ATTIEGOUAKRO
024;A2;YAMOUSSOUKRO
025;06;KANIASSO
026;06;MINIGNAN
027;25;BEOUMI
028;25;BOTRO
029;25;BOUAKE
030;25;SAKASSOU
031;01;"SASSANDRA   "
032;01;FRESCO
033;08;GAGNOA
034;08;OUME
035;31;BONDOUKOU
036;31;KOUN-FAO
037;31;SANDEGUE
038;31;TANDA
039;31;TRANSUA
040;15;DABOU
041;15;GRAND-LAHOU
042;15;JACQUEVILLE
043;18;BANGOLO
044;18;DUEKOUE
045;18;KOUIBLY
046;26;DABAKALA
047;26;KATIOLA
048;26;NIAKARAMADOUGOU
049;20;DALOA
050;20;ISSIA
051;20;VAVOUA
052;20;ZOUKOUGBEU
053;11;DAOUKRO
054;11;MBAHIAKRO
055;11;PRIKRO
056;04;ABENGOUROU
057;04;AGNIBILEKROU
058;04;BETTIE
059;07;MADINANI
060;07;ODIENNE
061;07;SAMATIGUILA
062;09;DIVO
063;09;GUITRY
064;09;LAKOTA
065;21;BOUAFLE
066;21;SINFRA
067;21;ZUENOULA
068;16;ADZOPE
069;16;AKOUPE
070;16;ALEPE
071;16;YAKASSE-ATTOBROU
072;02;GUEYO
073;02;"SOUBRE  "
074;12;ARRAH
075;13;BOCANDA
076;12;BONGOUANOU
077;13;DIMBOKRO
078;12;MBATTO
079;23;DIKODOUGOU
080;23;KORHOGO
081;23;SINEMATIALI
082;03;SAN PEDRO
083;03;"TABOU  "
084;05;ABOISSO
085;05;"ADIAKE "
086;05;GRAND-BASSAM
087;05;TIAPOUM
088;24;FERKESSEDOUGOU
089;24;OUANGOLODOUGOU
090;19;BIANKOUMA
091;19;DANANE
092;19;MAN
093;19;ZOUAN-HOUNIEN
094;29;KANI
095;29;SEGUELA
096;10;DJEKANOU
097;24;KONG
098;13;KOUASSI-KOUASSIKRO
099;02;MEAGUI
100;02;BUYO
101;23;MBENGUE
102;18;FACOBLY
103;28;DIANRA
104;14;TAABO
105;07;GBELEBAN
106;07;SEGUELON
107;19;SIPILOU
108;17;TAI
109;11;OUELLE
110;21;BONON
111;21;GOHITAFLA
999;99;DIASPORA
