COD_CEL;TYP_CEL;NBR_BV_CEL;LIB_CEL
C001;NULL;129;CEC ABOBO 01
C002;NULL;90;CEC ABOBO 02
C003;NULL;135;CEC ABOBO 03
C004;NULL;87;CEC ABOBO 04
C005;NULL;118;CEC ABOBO 05
C006;NULL;106;CEC ABOBO 06
C007;NULL;98;CEC ABOBO 07
C008;NULL;110;CEC ABOBO 08
C009;NULL;92;CEC ABOBO 09
C010;NULL;93;CEC ABOBO 10
C011;NULL;91;CEC ADJAME 01
C012;NULL;96;CEC ADJAME 02
C013;NULL;122;CEC ANYAMA 01
C014;NULL;104;CEC ATTECOUBE 01
C015;NULL;78;CEC ATTECOUBE 02
C016;NULL;119;CEC COCODY 01
C017;NULL;89;CEC COCODY 02
C018;NULL;108;CEC COCODY 03
C019;NULL;77;CEC COCODY 04
C020;NULL;92;CEC COCODY 05
C021;NULL;94;CEC COCODY 06
C022;NULL;127;CEC KOUMASSI 01
C023;NULL;113;CEC KOUMASSI 02
C024;NULL;105;CEC KOUMASSI 03
C025;NULL;85;CEC KOUMASSI 04
C026;NULL;121;CEC MARCORY 01
C027;NULL;152;CEC MARCORY 02
C028;NULL;133;CEC PLATEAU 01
C029;NULL;95;CEC PLATEAU 02
C030;NULL;136;CEC PORT-BOUET 01
C031;NULL;109;CEC PORT-BOUET 02
C032;NULL;80;CEC TREICHVILLE 01
C033;NULL;115;CEC YOPOUGON 01
C034;NULL;116;CEC YOPOUGON 02
C035;NULL;139;CEC YOPOUGON 03
C036;NULL;118;CEC YOPOUGON 04
C037;NULL;94;CEC YOPOUGON 05
C038;NULL;111;CEC YOPOUGON 06
C039;NULL;121;CEC YOPOUGON 07
C040;NULL;118;CEC YOPOUGON 08
C041;NULL;110;CEC YOPOUGON 09
C042;NULL;91;CEC YOPOUGON 10
C043;NULL;104;CEC YOPOUGON 11
C044;NULL;100;CEC YAMOUSSOUKRO 01
C045;NULL;98;CEC YAMOUSSOUKRO 02
C046;NULL;109;CEC BOUAKE 01
C047;NULL;148;CEC BOUAKE 02
C048;NULL;112;CEC BOUAKE 03
C049;NULL;132;CEC BOUAKE 04
C050;NULL;102;CEC BOUAKE 05
C051;NULL;79;CEC DALOA 01
C052;NULL;80;CEC DALOA 02
C053;NULL;123;CEC KORHOGO 01
C054;NULL;79;CEC KORHOGO 02
C055;NULL;87;CEC SAN-PEDRO 01
C056;NULL;94;CEC SAN-PEDRO 02
C057;NULL;61;CEC MAN 01
C058;NULL;58;CEC MAN 02
C059;NULL;101;CEC ANYAMA 02
