COD_DEPT;COD_SP;COD_COM;COD_LV;COD_CEL;LIB_LV
001;001;001;001;R001;G S ADAHOU EXTENTION 1- 2
001;001;001;002;R001;EPV METHODISTE
001;001;001;003;R001;EPP 1 PLATEAU
001;001;001;004;R001;EPP 1 DIOULAKRO
001;001;001;005;R001;G S PLATEAU 5
001;001;001;006;R001;EPP 3 DIOULAKRO
001;001;001;007;R001;COLLEGE MODERNE DECROLY
001;001;001;008;R001;G S SOKOURA
001;001;001;009;R001;EPP 1-2 ARTISANAL
001;001;001;010;R001;EPP 1 RAN-ADAHOU
001;001;001;011;R001;EPP COTIVO
001;001;001;012;R001;EPP 4 OBODJIKRO
001;001;001;013;R001;G S OBODJIKRO 1-2-3-5 ET SAMBREGNANKRO
001;001;001;014;R001;LYCEE MODERNE 3
001;001;001;015;R001;LYCEE MODERNE ERNEST BOKA
001;001;001;016;R001;PLACE PUBLIQUE AWANDJI
001;001;001;017;R001;EPP ANGO
001;001;001;018;R001;EPP BONIKRO
001;001;001;019;R001;EPP GBALEKRO
001;001;001;020;R001;EPP N'CHOMPO
001;001;001;021;R001;COLLEGE MODERNE LA REUSSITE
001;001;001;022;R001;EPP 1-2 MOUTCHO
001;001;001;023;R001;EPP LAOGUIE
001;001;001;024;R001;EPP 2 ERY MAKOUGUIE
001;001;001;025;R001;EPP 1 ERY MAKOUGUIE
001;001;001;026;R001;EPP 1 BANGUIE
001;001;001;027;R001;EPP ADAHOU VILLAGE
001;001;001;028;R001;EPP OFFORIGUIE
001;001;001;029;R001;INSTITUT ACADEMIQUE EBENEZER
001;001;001;030;R001;EPP 4 PLATEAU
001;001;001;031;R001;EPP 2 DIOULAKRO
001;001;001;032;R001;EPP JEAN KONAN POKOU
001;001;001;033;R001;EPP TP
001;001;001;034;R001;GROUPE SCOLAIRE GANTOIS
001;001;001;035;R001;EPP MEDINA CORANI
001;001;001;036;R001;EPP AMAKEBOU
001;001;001;037;R001;EPP 2 APPLICATION
001;001;001;038;R001;EPP AKA M'PO DIBO M'PO
001;001;001;039;R001;EPP BADOUKRO
001;001;001;040;R001;EPP 2 AMAKEBOU
001;001;001;042;R001;EPP OUANGUIE
001;001;098;002;S001;EPP EHOUEGUIE
001;001;098;003;S001;EPP 2 GRAND-YAPO
001;001;098;004;S001;EPP 1 GRAND-YAPO
001;001;098;005;S001;EPP YAPO KPA
001;001;098;006;S001;EPP PETIT YAPO
001;001;098;007;S001;EPP YAPO-GARE
001;001;098;008;S001;GROUPE SCOLAIRE OFFA
001;001;098;009;S001;EPP BOKA OHO
001;001;098;010;S001;EPP 1-2-3 OFFOMPO
001;002;001;001;S002;EPP 1 AZAGUIE AHOUA
001;002;001;002;S002;EPP 2 AZAGUIE AHOUA
001;002;001;003;S002;EPP 3 AZAGUIE AHOUA
001;002;001;004;S002;EPP 4 AZAGUIE AHOUA
001;002;001;005;S002;GROUPE SCOLAIRE 1 AZAGUIE GARE
001;002;001;006;S002;GROUPE SCOALIRE 2 AZAGUIE GARE
001;002;001;007;S002;GROUPE SCOLAIRE 3 AZAGUIE GARE
001;002;001;008;S002;EPP JEAN EGLIN
001;002;001;009;S002;EPV METHODISTE
001;002;001;010;S002;GROUPE SCOLAIRE ABBE BEGNINI
001;002;001;011;S002;EPP IRFA AZAGUIE
001;002;001;012;S002;EPP AZAGUIE BAMBOU
001;002;001;013;S002;EPP LA VIE EST BELLE
001;002;098;001;S002;EPP AZAGUIE-MBROME
001;002;098;002;S002;EPP AZAGUIE-MAKOUGUIE
001;002;098;003;S002;EPP DONKOI
001;002;098;004;S002;EPP ACHIEKOI
001;003;001;001;S008;EPV CATHOLIQUE RUBINO
001;003;001;002;S008;EPP 1 RUBINO
001;003;001;003;S008;EPP 2 RUBINO
001;003;001;004;S008;EPP 3 RUBINO
001;003;001;005;S008;LA ROTONDE WAWOU
001;003;001;006;S008;EPP ZOUBROU
001;003;001;007;S008;EPP MICHELKRO
001;003;001;008;S008;EPV ADOMONKRO (DOUDOU)
001;003;001;009;S008;EPP DEY OBOGUIE
001;003;001;010;S008;EPP KAMA-BROUX
001;003;001;011;S008;EPP SEGBEVI
001;003;001;012;S008;EPP PAUL N'GUESSAN
001;003;001;013;S008;EPP MESSE DJEMERE
001;003;098;001;S008;EPP ALLANY
001;003;098;002;S008;EPP OUELEZOUE
001;003;098;003;S008;EPP 1 AMANGBEU
001;003;098;004;S008;EPP 2 AMANGBEU
001;003;098;005;S008;EPP KOTCHIMPO
001;003;098;006;S008;EPP BROU MPO
001;003;098;007;S008;EPP KEDJEM'PO
001;003;098;008;S008;EPP 2 GOUABO
001;003;098;009;S008;EPP 1 GOUABO
001;004;098;001;S004;EPP 1-3 GRAND-MORIE
001;004;098;002;S004;EPP AGOUAHIN
001;004;098;003;S004;EPP I ARRAGUIE
001;004;098;004;S004;EPP 1 LAPO
001;004;098;005;S004;EPP 1 M'BATTRA
001;004;098;006;S004;EPP 1 M'BERIE
001;004;098;007;S004;EPP MAFOU
001;004;098;008;S004;EPP OKOUGUIE
001;004;098;009;S004;EPP 5 GRAND-MORIE
001;004;098;010;S004;PLACE PUBLIQUE TV-MPO
001;005;098;001;S007;GROUPE SCOLAIRE 1 ORESS-KROBOU
001;005;098;003;S007;EPP ABOUDE DADIE
001;006;098;001;S003;EPP 1 CECHI
001;006;098;002;S003;EPP 2 CECHI
001;006;098;003;S003;EPP TRENOU
001;006;098;004;S003;PLACE PUBLIQUE MITICHI
001;006;098;006;S003;EPP 2 BANGUIE
