COD_DEPT;COD_SP;COD_COM;COD_LV;COD_CEL;LIB_LV
001;001;001;001;554;G S ADAHOU EXTENTION 1- 2
001;001;001;002;554;EPV METHODISTE
001;001;001;003;554;EPP PLATEAU 1
001;001;001;004;554;EPP DIOULAKRO 1
001;001;001;005;554;G S PLATEAU 5
001;001;001;006;554;EPP DIOULAKRO 3
001;001;001;007;554;COLLEGE MODERNE DECROLY
001;001;001;008;554;G S SOKOURA
001;001;001;009;554;EPP ARTISANAL 1-2
001;001;001;010;554;EPP RAN-ADAHOU 1
001;001;001;011;554;EPP COTIVO
001;001;001;012;554;EPP OBODJIKRO 4
001;001;001;013;554;G S OBODJIKRO 1-2-3-5 ET SAMBREGNANKRO
001;001;001;014;554;LYCEE MODERNE 3
001;001;001;015;554;LYCEE MODERNE AGBOVILLE 1
001;001;001;016;554;EPP AWANDJI 1
001;001;001;017;554;EPP ANGO
001;001;001;018;554;EPP BONIKRO
001;001;001;019;554;EPP GBALEKRO
001;001;001;020;554;EPP NCHOMPO
001;001;001;021;554;COLLEGE MODERNE LA REUSSITE
001;001;001;022;554;EPP MOUTCHO 1-2
001;001;001;023;554;EPP LAOGUIE
001;001;001;024;554;EPP ERY MAKOUGUIE 2
001;001;001;025;554;EPP ERY MAKOUGUIE1
001;001;001;026;554;EPP BANGUIE 1
001;001;001;027;554;EPP ADAHOU 2
001;001;001;028;554;EPP OFFORIGUIE
001;001;001;029;554;INSTITUT ACADEMIQUE EBENEZER
001;001;001;030;554;EPP PLATEAU 4
001;001;001;031;554;EPP DIOULAKRO 2
001;001;001;032;554;EPP JEAN KONAN POKOU
001;001;001;033;554;EPP TP
001;001;001;034;554;GROUPE SCOLAIRE GANTOIS
001;001;001;035;554;EPP MEDINA CORANI
001;001;001;036;554;EPP AMAKEBOU
001;001;001;037;554;EPP APPLICATION 2
001;001;098;001;162;EPP OUANGUIE
001;001;098;002;162;EPP EHOUEGUIE
001;001;098;003;162;EPP 2 GRAND-YAPO
001;001;098;004;162;EPP 1 GRAND-YAPO
001;001;098;005;162;EPP 1 YAPO KPA
001;001;098;006;162;EPP ABEGUIE
001;001;098;007;162;EPP YAPO-GARE
001;001;098;008;162;EPP OFFA I
001;001;098;009;162;EPP BOKA MPOH
001;001;098;010;162;PLACE PUBLIQUE OFFOMPO
001;001;098;011;162;PLACE PUBLIQUE ABOUDE DADIE
001;002;001;001;364;EPP AZAGUIE AHOUA 1
001;002;001;002;364;EPP AZAGUIE AHOUA 2
001;002;001;003;364;EPP AZAGUIE AHOUA 3
001;002;001;004;364;EPP AZAGUIE AHOUA 4
001;002;001;005;364;EPP AZAGUIE GARE 1
001;002;001;006;364;EPP AZAGUIE GARE 2
001;002;001;007;364;EPP AZAGUIE GARE 3
001;002;001;008;364;EPP JEAN EGLIN
001;002;001;009;364;EPV METHODISTE
001;002;001;010;364;EPP ABBE BEGNINI
001;002;001;011;364;EPP CPT IRFA
001;002;001;012;364;EPP AZAGUIE BAMBOU
001;002;098;001;364;EPP ACHIEKOI
001;002;098;002;364;APATAM DONKOI
001;002;098;003;364;EPP AZAGUIE-MAKOUGUIE
001;002;098;004;364;EPP AZAGUIE-MBROME
001;003;001;001;525;EPV CATHOLIQUE RUBINO
001;003;001;002;525;EPP RUBINO 1
001;003;001;003;525;EPP RUBINO 2
001;003;001;004;525;EPP RUBINO 3
001;003;001;005;525;LA ROTONDE WAWOU
001;003;001;006;525;NAMOUEDAN 2
001;003;001;007;525;ORIAMPO
001;003;001;008;525;EPV ADOMONKRO (DOUDOU)
001;003;001;009;525;EPP DEY OBOGUIE
001;003;001;010;525;EPP KAMABROU
001;003;098;001;525;EPP 1 GOUABO
001;003;098;002;525;EPP GOUABO II
001;003;098;003;525;EPP 1 AMANGBEU
001;003;098;004;525;EPP 2 AMANGBEU
001;003;098;005;525;EPP KEDJEMPO
001;003;098;006;525;PLACE PUBLIQUE APPATAM CENTRAL BROU MPO
001;003;098;007;525;EPP KOTCHIMPO
001;003;098;008;525;EPP OUELEZOUE
001;004;098;001;143;EPP GRAND-MORIE 1-3
001;004;098;002;143;EPP AGOUAHIN
001;004;098;003;143;EPP I ARRAGUIE
001;004;098;004;143;EPP LAPO
001;004;098;005;143;EPP MBATTRA
001;004;098;006;143;EPP MBERIE I
001;004;098;007;143;EPP MAFOU
001;004;098;008;143;EPP OKOUGUIE
001;005;098;001;386;GROUPE SCOLAIRE ORESS-KROBOU 1
001;005;098;002;386;GROUPE SCOLAIRE ORESS-KROBOU 2
001;006;098;001;458;EPP CECHI 1
001;006;098;002;458;EPP CECHI 2
001;006;098;003;458;EPP TRENOU
001;006;098;004;458;PLACE PUBLIQUE MITICHI
001;006;098;005;458;EPP ALLANY
001;006;098;006;458;EPP BANGUIE 2
