COD_CEL;TYP_CEL;LIGNE_DEB_CEL;ETA_RESULTAT_CEL;NBR_BV_CEL;LIB_CEL;NUM_UTIL
001;"CER ";12;P;44;CER BAGOUE (BOUNDIALI);11
002;"CED ";12;P;22;CED DIANRA;11
003;CESP;12;P;18;CESP KAOUARA;11
004;CESP;12;P;21;CESP YAKASSE-ME;11
005;CESP;12;P;57;CESP BIANKOUMA;11
006;CESP;12;P;54;CESP SEGUELA;11
007;CESP;12;P;34;CESP MEAGUI;11
008;CESP;12;V;52;CESP DIABO;11
009;"CED ";12;P;14;CED MADINANI;11
010;CESP;12;P;38;CESP TOUPAH;NULL
011;CESP;12;P;22;CESP DIAMBA;NULL
012;CESP;12;P;16;CESP KANAKONO;NULL
013;CESP;12;P;38;CESP TIORO;NULL
014;"CED ";12;P;62;CED VAVOUA;NULL
015;"CED ";12;P;28;CED TAABO;NULL
016;CESP;12;P;17;CESP GALEBRE;NULL
017;"CER ";12;P;108;CER NAWA (SOUBRE);NULL
018;"CEC ";12;P;85;CEC ABOBO 04;NULL
019;CESP;12;P;30;CESP BAKO;NULL
020;"CER ";12;P;55;CER HAMBOL (KATIOLA);NULL
021;CESP;12;P;15;CESP ABENGOUROU;NULL
022;CESP;12;P;32;CESP SIFIE;NULL
023;"CEC ";12;P;113;CEC ABOBO 05;NULL
024;CESP;12;P;24;CESP MARABADJASSA;NULL
025;CESP;12;P;44;CESP DIAWALA;NULL
026;CESP;12;P;23;CESP TIASSALE;NULL
027;CESP;12;P;13;CESP SEGUELON;NULL
028;CESP;12;P;25;CESP KOUNAHIRI;NULL
029;CESP;12;P;34;"CESP TIE-NDIEKRO ";NULL
030;"CED ";12;P;46;CED ZUENOULA;NULL
031;"CEC ";12;P;93;CEC YOPOUGON 11;NULL
032;CESP;12;P;10;CESP TANGUELAN;NULL
033;CESP;12;P;23;CESP SIANHALA;NULL
034;CESP;12;P;38;CESP SIRASSO;NULL
035;CESP;12;P;19;CESP DJIBROSSO;NULL
036;"CEC ";12;P;86;CEC ABOBO 10;NULL
037;CESP;12;P;22;CESP TAPEGUIA;NULL
038;CESP;12;P;11;CESP PEHE;NULL
039;"CEC ";12;P;127;CEC DALOA 01;NULL
040;CESP;12;P;7;CESP BAKOUBLY;NULL
041;CESP;12;P;26;"CESP GBON ";NULL
042;"CER ";12;P;72;CER ME (ADZOPE );NULL
043;CESP;12;P;7;CESP YEZIMALA;NULL
044;CESP;12;P;8;CESP SOKORO-SOKOURANI;NULL
045;"CEC ";12;P;116;CEC KORHOGO 01;NULL
046;CESP;12;P;28;CESP TONLA;NULL
047;CESP;12;P;52;CESP BOUAKE;NULL
048;CESP;12;V;21;CESP MOLONOU;NULL
049;"CED ";12;P;30;CED TABOU;NULL
050;"CEC ";12;P;169;CEC KORHOGO 02;NULL
051;CESP;12;P;29;CESP DOROPO;NULL
052;"CER ";12;P;36;CER BERE (MANKONO);NULL
053;CESP;12;P;15;CESP SOMINASSE;NULL
054;"CEC ";12;P;90;CEC ABOBO 09;NULL
055;"CEC ";12;P;91;CEC ABOBO 07;NULL
056;CESP;12;P;78;CESP GABIADJI;NULL
057;"CER ";12;P;10;CER FOLON (MINIGNAN);NULL
058;CESP;12;P;11;CESP EBILASSOKRO;NULL
059;"CEC ";12;P;112;CEC BOUAKE 04;NULL
060;"CED ";12;P;8;CED SAMATIGUILA;NULL
061;"CED ";12;P;42;CED BIANKOUMA;NULL
062;CESP;12;P;17;CESP VOUEBOUFLA;NULL
063;"CER ";12;P;39;CER GBOKLE (SASSANDRA);NULL
064;"CED ";12;P;50;CED GRAND-BASSAM;NULL
065;CESP;12;P;20;CESP OUYABLY-GNANDROU;NULL
066;"CED ";12;P;34;CED BLOLEQUIN;NULL
067;"CEC ";12;P;119;CEC ABOBO 01;NULL
068;"CED ";12;P;88;CED ISSIA;NULL
