COD_DEPT;COD_SP;COD_COM;LIB_COM
001;001;001;AGBOVILLE
001;001;098;AGBOVILLE
001;002;001;AZAGUIE
001;002;098;AZAGUIE
001;003;001;RUBINO
001;003;098;RUBINO
001;004;098;GRAND-MORIE
001;005;098;ORESS-KROBOU
001;006;098;CECHI
001;007;098;ABOUDE
001;008;098;ANANGUIE
001;009;098;ATTOBROU
001;010;098;GUESSIGUIE
001;011;098;LOVIGUIE
002;001;098;GOMON
002;002;001;SIKENSI
002;002;098;SIKENSI
003;002;001;TIASSALE
003;002;098;TIASSALE
003;003;098;GBOLOUVILLE(ex BINA-BOUS)
003;004;098;MOROKRO
003;005;001;NDOUCI
003;005;098;NDOUCI
004;001;001;BOOKO
004;001;098;BOOKO
004;002;001;BOROTOU
004;002;098;BOROTOU
004;006;001;KORO
004;006;098;KORO
004;007;098;MAHANDOUGOU
004;008;098;NIOKOSSO
005;005;001;KOONAN
005;005;098;KOONAN
005;007;001;OUANINOU
005;007;098;OUANINOU
005;008;098;GBELO
005;009;098;GOUEKAN
005;010;098;SABOUDOUGOU
005;011;098;SANTA
006;003;098;FOUNGBESSO
006;004;001;GUINTEGUELA
006;004;098;GUINTEGUELA
006;008;001;TOUBA
006;008;098;TOUBA
006;009;098;DIOMAN
007;001;001;BOUNDIALI
007;001;098;BOUNDIALI
007;003;001;KASSERE
007;003;098;KASSERE
007;004;098;BAYA
007;005;098;GANAONI
007;006;098;SIEMPURGO
008;002;001;GBON
008;002;098;GBON
008;004;001;KOLIA
008;004;098;KOLIA
008;005;001;KOUTO
008;005;098;KOUTO
008;006;098;BLESSEGUE
008;007;098;SIANHALA
009;001;001;KANAKONO
009;002;001;TENGRELA
009;002;098;TENGRELA
009;003;098;DEBETE
009;004;098;PAPARA
010;002;001;DIDIEVI
010;002;098;DIDIEVI
010;003;001;TIE NDIEKRO
010;003;098;TIE-NDIEKRO
010;004;098;BOLI
010;005;098;MOLONOU-BLE
010;006;098;RAVIART
011;001;001;TIEBISSOU
011;001;098;TIEBISSOU
011;002;098;LOMOKANKRO
011;003;098;MOLONOU
011;004;098;YAKPABO-SAKASSOU
012;001;098;ANGONDA
012;003;001;KOKOUMBO
012;003;098;KOKUMBO
012;004;098;KPOUEBO
012;005;001;TOUMODI
012;005;098;TOUMODI
013;004;001;MANKONO
013;004;098;MANKONO
013;005;098;MARANDALLAH
013;006;001;SARHALA
013;006;098;SARHALA
013;007;001;TIENINGBOUE
013;007;098;TIENINGBOUE
013;008;098;BOUANDOUGOU
014;002;001;KONGASSO
014;002;098;KONGASSO
014;003;001;KOUNAHIRI
014;003;098;KOUNAHIRI
015;001;001;BOUNA
015;001;098;BOUNA
015;002;098;BOUKO
015;003;098;ONDEFIDOUO
015;004;098;YOUNDOUO
016;002;001;DOROPO
016;002;098;DOROPO
016;003;098;DANOA
016;004;098;KALAMON
016;005;098;NIAMOUE
017;003;001;NASSIAN
017;003;098;NASSIAN
017;004;098;BOGOFA
017;006;098;KOTOUBA
017;007;098;SOMINASSE
018;004;001;TEHINI
018;004;098;TEHINI
018;005;098;GOGO
018;006;098;TOUGBO
019;001;001;BLOLEQUIN
019;001;098;BLOLEQUIN
019;002;098;DIBOKE
019;003;098;DOKE
019;004;098;TINHOU
019;005;098;ZEAGLO
020;001;001;GUIGLO
020;001;098;GUIGLO
020;002;098;BEDY-GOAZON
020;003;098;KAADE
020;004;098;NIZAHON
021;001;098;BAKOUBLY
021;002;098;PEHE
021;003;098;TIOBLY
021;004;001;TOULEPLEU
021;004;098;TOULEPLEU
021;005;098;MEO
021;006;098;NEZOBLY
022;001;001;ABOBO
022;001;002;ADJAME
022;001;003;ATTECOUBE
022;001;004;COCODY
022;001;005;KOUMASSI
022;001;006;MARCORY
022;001;007;PLATEAU
022;001;008;PORT-BOUET
022;001;009;TREICHVILLE
022;001;010;YOPOUGON
022;002;001;ANYAMA
022;002;098;ANYAMA
022;003;001;BINGERVILLE
022;003;098;BINGERVILLE
022;004;001;SONGON
022;004;098;SONGON
022;005;098;BROFODOUME
023;001;001;ATTIEGOUAKRO
023;001;098;ATTIEGOUAKRO
023;002;098;LOLOBO
024;004;001;YAMOUSSOUKRO
024;004;098;YAMOUSSOUKRO
024;005;098;KOSSOU
025;003;001;GOULIA
025;003;098;GOULIA
025;004;001;KANIASSO
025;004;098;KANIASSO
025;005;098;MAHANDIANA-SOKOURANI
026;006;001;MINIGNAN
026;006;098;MINIGNAN
026;012;001;TIENKO
026;012;098;TIENKO
026;014;098;KIMBIRILA-NORD
026;015;098;SOKORO
027;001;001;BEOUMI
027;001;098;BEOUMI
027;002;001;BODOKRO
027;002;098;BODOKRO
027;004;098;KONDROBO
027;005;098;ANDO-KEKRENOU
027;006;098;LOLOBO
027;007;098;NGUESSANKRO
027;008;098;MARABADJASSA
028;001;001;BOTRO
028;004;001;DIABO
028;004;098;DIABO
028;006;098;LANGUIBONOU
028;007;098;KROFOINSOU
029;002;001;BOUAKE
029;002;098;BOUAKE
029;003;001;BROBO
029;005;001;DJEBONOUA
029;005;098;DJEBONOUA
029;006;098;BOUNDA
029;007;098;MAMINI
030;001;001;SAKASSOU
030;001;098;SAKASSOU
030;002;098;TOUMODI-SAKASSOU
030;003;098;AYAOU-SRAN
030;004;098;DIBRI-ASRIKRO
031;002;001;SASSANDRA
031;002;098;SASSANDRA
031;003;098;SAGO
031;004;098;DAKPADOU
031;005;098;GRIHIRI
031;006;098;LOBAKUYA
031;007;098;MEDON
032;002;001;FRESCO
032;002;098;FRESCO
032;003;098;DAHIRI
032;004;098;GBAGBAM
033;001;001;GAGNOA
033;001;098;GAGNOA
033;002;098;GNAGBODOUGNOA
033;003;001;GUIBEROUA
033;003;098;GUIBEROUA
033;004;001;OURAGAHIO
033;004;098;OURAGAHIO
033;005;098;BAYOTA
033;006;098;DAHIEPA-KEHI
033;007;098;DIGNAGO
033;008;098;DOUGROUPALEGNOA
033;009;098;DOUKOUYO
033;010;098;GALEBOUO
033;011;098;SERIHIO
033;012;098;YOPOHUE
034;001;001;DIEGONEFLA
034;001;098;DIEGONEFLA
034;002;001;OUME
034;002;098;OUME
034;003;098;GUEPAHOUO
034;004;098;TONLA
035;001;001;BONDOUKOU
035;001;098;BONDOUKOU
035;002;098;GOUMERE
035;004;098;SAPLI-SEPINGO
035;005;098;SOROBANGO
035;006;098;TABAGNE
035;007;098;APPIMANDOUM
035;008;098;BONDO
035;009;098;LAOUDI-BA
035;010;098;PINDA-BOROKRO
035;011;098;TAGADI
035;012;098;TAOUDI
035;013;098;YEZIMALA
036;001;001;KOUN-FAO
036;001;098;KOUN-FAO
036;002;001;KOUASSI-DATEKRO
036;002;098;KOUASSI-DATEKRO
036;003;098;TANKESSE
036;004;098;BOAHIA
036;005;098;KOKOMIAN
036;006;098;TIENKOIKRO
037;003;001;SANDEGUE
037;003;098;SANDEGUE
037;004;098;BANDAKAGNI-TOMORA
