COD_DEPT;COD_REG;NUM_UTIL;STAT_PUB;LIB_DEPT
001;14;1;P;AGBOVILLE
002;14;12;P;SIKENSI
003;14;12;P;TIASSALE
004;27;11;P;KORO
005;27;12;P;OUANINOU
006;27;12;P;TOUBA
007;22;12;P;BOUNDIALI
008;22;11;P;KOUTO
009;22;12;P;TENGRELA
010;10;1;P;DIDIEVI
011;10;12;NULL;TIEBISSOU
012;10;12;P;TOUMODI
013;28;11;P;MANKONO
014;28;11;P;KOUNAHIRI
015;30;1;P;BOUNA
016;30;11;P;DOROPO
017;30;12;P;NASSIAN
018;30;12;P;TEHINI
019;17;1;P;BLOLEQUIN
020;17;11;P;GUIGLO
021;17;12;P;TOULEPLEU
022;A1;1;P;ABIDJAN
023;A2;1;NULL;ATTIEGOUAKRO
024;A2;12;P;YAMOUSSOUKRO
025;06;11;P;KANIASSO
026;06;12;P;MINIGNAN
027;25;1;P;BEOUMI
028;25;1;NULL;BOTRO
029;25;1;P;BOUAKE
030;25;12;P;SAKASSOU
031;01;12;P;SASSANDRA
032;01;11;P;FRESCO
033;08;11;P;GAGNOA
034;08;12;P;OUME
035;31;1;P;BONDOUKOU
036;31;11;P;KOUN-FAO
037;31;12;P;SANDEGUE
038;31;12;P;TANDA
039;31;12;P;TRANSUA
040;15;1;P;DABOU
041;15;11;P;GRAND-LAHOU
042;15;11;P;JACQUEVILLE
043;18;1;NULL;BANGOLO
044;18;11;P;DUEKOUE
045;18;11;P;KOUIBLY
046;26;1;P;DABAKALA
047;26;11;P;KATIOLA
048;26;12;P;NIAKARAMADOUGOU
049;20;1;P;DALOA
050;20;11;P;ISSIA
051;20;12;P;VAVOUA
052;20;12;P;ZOUKOUGBEU
053;11;1;NULL;DAOUKRO
054;11;11;NULL;MBAHIAKRO
055;11;12;P;PRIKRO
056;04;1;P;ABENGOUROU
057;04;1;P;AGNIBILEKROU
058;04;1;NULL;BETTIE
059;07;11;P;MADINANI
060;07;12;P;ODIENNE
061;07;12;P;SAMATIGUILA
062;09;11;P;DIVO
063;09;11;P;GUITRY
064;09;11;P;LAKOTA
065;21;1;P;BOUAFLE
066;21;12;P;SINFRA
067;21;12;P;ZUENOULA
068;16;1;P;ADZOPE
069;16;1;P;AKOUPE
070;16;1;P;ALEPE
071;16;12;P;YAKASSE-ATTOBROU
072;02;11;P;GUEYO
073;02;12;P;SOUBRE
074;12;1;P;ARRAH
075;13;1;NULL;BOCANDA
076;12;1;NULL;BONGOUANOU
077;13;11;P;DIMBOKRO
078;12;11;NULL;MBATTO
079;23;12;P;DIKODOUGOU
080;23;12;P;KORHOGO
081;23;11;P;SINEMATIALI
082;03;12;P;SAN-PEDRO
083;03;12;P;TABOU
084;05;1;P;ABOISSO
085;05;1;P;ADIAKE
086;05;11;P;GRAND-BASSAM
087;05;12;P;TIAPOUM
088;24;11;P;FERKESSEDOUGOU
089;24;11;P;OUANGOLODOUGOU
090;19;1;P;BIANKOUMA
091;19;1;P;DANANE
092;19;1;P;MAN
093;19;1;P;ZOUAN-HOUNIEN
094;29;11;P;KANI
095;29;12;P;SEGUELA
096;10;11;NULL;DJEKANOU
097;24;11;P;KONG
098;13;11;NULL;KOUASSI-KOUASSIKRO
099;02;11;P;MEAGUI
100;02;1;P;BUYO
101;23;11;P;MBENGUE
102;18;11;P;FACOBLY
103;28;1;P;DIANRA
104;14;12;P;TAABO
105;07;11;P;GBELEBAN
106;07;12;P;SEGUELON
107;19;1;P;SIPILOU
108;17;12;P;TAI
999;99;1;P;DIASPORA
